											
											
#		Español	Español LATAM	Japonés	Inglés	Francés	Alemán	Italiano	Coreano	Chino simplificado	Chino tradicional
621		Cerco dimensión	Cerco dimensión	いじげんラッシュ	Hyperspace Fury	Furie Dimension	Dimensionswahn	Urtodimensionale	이차원러시	异次元猛攻	異次元猛攻
622		Carrera arrolladora	Carrera arrolladora	ウルトラダッシュアタック	Breakneck Blitz	Turbo-Charge Bulldozer	Hyper-Sprintangriff	Carica Travolgente	울트라대시어택	究极无敌大冲撞	究極無敵大衝撞
623		Carrera arrolladora	Carrera arrolladora	ウルトラダッシュアタック	Breakneck Blitz	Turbo-Charge Bulldozer	Hyper-Sprintangriff	Carica Travolgente	울트라대시어택	究极无敌大冲撞	究極無敵大衝撞
624		Ráfaga demoledora	Ráfaga demoledora	ぜんりょくむそうげきれつけん	All-Out Pummeling	Combo Hyper-Furie	Fulminante Faustschläge	Iperscarica Furiosa	전력무쌍격렬권	全力无双激烈拳	全力無雙激烈拳
625		Ráfaga demoledora	Ráfaga demoledora	ぜんりょくむそうげきれつけん	All-Out Pummeling	Combo Hyper-Furie	Fulminante Faustschläge	Iperscarica Furiosa	전력무쌍격렬권	全力无双激烈拳	全力無雙激烈拳
626		Picado supersónico	Picada supersónica	ファイナルダイブクラッシュ	Supersonic Skystrike	Piqué Supersonique	Finaler Steilflug	Picchiata Devastante	파이널다이브클래시	极速俯冲轰烈撞	極速俯衝轟烈撞
627		Picado supersónico	Picada supersónica	ファイナルダイブクラッシュ	Supersonic Skystrike	Piqué Supersonique	Finaler Steilflug	Picchiata Devastante	파이널다이브클래시	极速俯冲轰烈撞	極速俯衝轟烈撞
628		Diluvio corrosivo	Diluvio corrosivo	アシッドポイズンデリート	Acid Downpour	Déluge Causti-Toxique	Vernichtender Säureregen	Acidiluvio Corrosivo	애시드포이즌딜리트	强酸剧毒灭绝雨	強酸劇毒滅絕雨
629		Diluvio corrosivo	Diluvio corrosivo	アシッドポイズンデリート	Acid Downpour	Déluge Causti-Toxique	Vernichtender Säureregen	Acidiluvio Corrosivo	애시드포이즌딜리트	强酸剧毒灭绝雨	強酸劇毒滅絕雨
630		Barrena telúrica	Barrena telúrica	ライジングランドオーバー	Tectonic Rage	Éruption Géo-Sismique	Seismische Eruption	Furore della Terra	라이징랜드오버	地隆啸天大终结	地隆嘯天大終結
631		Barrena telúrica	Barrena telúrica	ライジングランドオーバー	Tectonic Rage	Éruption Géo-Sismique	Seismische Eruption	Furore della Terra	라이징랜드오버	地隆啸天大终结	地隆嘯天大終結
632		Aplastamiento gigalítico	Aplastamiento gigalítico	ワールズエンドフォール	Continental Crush	Apocalypse Gigalithique	Apokalyptische Steinpresse	Gigamacigno Polverizzante	월즈엔드폴	毁天灭地巨岩坠	毀天滅地巨岩墜
633		Aplastamiento gigalítico	Aplastamiento gigalítico	ワールズエンドフォール	Continental Crush	Apocalypse Gigalithique	Apokalyptische Steinpresse	Gigamacigno Polverizzante	월즈엔드폴	毁天灭地巨岩坠	毀天滅地巨岩墜
634		Guadaña sedosa	Guadaña sedosa	ぜったいほしょくかいてんざん	Savage Spin-Out	Cocon Fatal	Wirbelnder Insektenhieb	Bozzolo Fatale	절대포식회전참	绝对捕食回旋斩	絕對捕食迴旋斬
635		Guadaña sedosa	Guadaña sedosa	ぜったいほしょくかいてんざん	Savage Spin-Out	Cocon Fatal	Wirbelnder Insektenhieb	Bozzolo Fatale	절대포식회전참	绝对捕食回旋斩	絕對捕食迴旋斬
636		Presa espectral	Presa espectral	むげんあんやへのいざない	Never-Ending Nightmare	Appel des Ombres Éternelles	Ewige Nacht	Abbraccio Spettrale	무한암야로의유인	无尽暗夜之诱惑	無盡暗夜之誘惑
637		Presa espectral	Presa espectral	むげんあんやへのいざない	Never-Ending Nightmare	Appel des Ombres Éternelles	Ewige Nacht	Abbraccio Spettrale	무한암야로의유인	无尽暗夜之诱惑	無盡暗夜之誘惑
638		Hélice trepanadora	Hélice trepanadora	ちょうぜつらせんれんげき	Corkscrew Crash	Vrille Maximum	Turbo-Spiralkombo	Spirale Perforante	초월나선연격	超绝螺旋连击	超絕螺旋連擊
639		Hélice trepanadora	Hélice trepanadora	ちょうぜつらせんれんげき	Corkscrew Crash	Vrille Maximum	Turbo-Spiralkombo	Spirale Perforante	초월나선연격	超绝螺旋连击	超絕螺旋連擊
640		Hecatombe pírica	Hecatombe pírica	ダイナミックフルフレイム	Inferno Overdrive	Pyro-Explosion Cataclysmique	Dynamische Maxiflamme	Fiammobomba Detonante	다이내믹풀플레임	超强极限爆焰弹	超強極限爆焰彈
641		Hecatombe pírica	Hecatombe pírica	ダイナミックフルフレイム	Inferno Overdrive	Pyro-Explosion Cataclysmique	Dynamische Maxiflamme	Fiammobomba Detonante	다이내믹풀플레임	超强极限爆焰弹	超強極限爆焰彈
642		Hidrovórtice abisal	Hidrovórtice abisal	スーパーアクアトルネード	Hydro Vortex	Super Tourbillon Abyssal	Super-Wassertornado	Idrovortice Abissale	슈퍼아쿠아토네이도	超级水流大漩涡	超級水流大漩渦
643		Hidrovórtice abisal	Hidrovórtice abisal	スーパーアクアトルネード	Hydro Vortex	Super Tourbillon Abyssal	Super-Wassertornado	Idrovortice Abissale	슈퍼아쿠아토네이도	超级水流大漩涡	超級水流大漩渦
644		Megatón floral	Megatón floral	ブルームシャインエクストラ	Bloom Doom	Pétalexplosion Éblouissante	Brillante Blütenpracht	Floriscoppio Sfolgorante	블룸샤인엑스트라	绚烂缤纷花怒放	絢爛繽紛花怒放
645		Megatón floral	Megatón floral	ブルームシャインエクストラ	Bloom Doom	Pétalexplosion Éblouissante	Brillante Blütenpracht	Floriscoppio Sfolgorante	블룸샤인엑스트라	绚烂缤纷花怒放	絢爛繽紛花怒放
646		Gigavoltio destructor	Gigavoltio destructor	スパーキングギガボルト	Gigavolt Havoc	Fulguro-Lance Gigavolt	Gigavolt-Funkensalve	Gigascarica Folgorante	스파킹기가볼트	终极伏特狂雷闪	終極伏特狂雷閃
647		Gigavoltio destructor	Gigavoltio destructor	スパーキングギガボルト	Gigavolt Havoc	Fulguro-Lance Gigavolt	Gigavolt-Funkensalve	Gigascarica Folgorante	스파킹기가볼트	终极伏特狂雷闪	終極伏特狂雷閃
648		Disruptor psíquico	Disruptor psíquico	マキシマムサイブレイカー	Shattered Psyche	Psycho-Pulvérisation EX	Psycho-Schmetterschlag	Impatto Psicocinetico	맥시멈사이브레이커	至高精神破坏波	至高精神破壞波
649		Disruptor psíquico	Disruptor psíquico	マキシマムサイブレイカー	Shattered Psyche	Psycho-Pulvérisation EX	Psycho-Schmetterschlag	Impatto Psicocinetico	맥시멈사이브레이커	至高精神破坏波	至高精神破壞波
650		Crioaliento despiadado	Crioaliento despiadado	レイジングジオフリーズ	Subzero Slammer	Laser Cryogénique	Tobender Geofrost	Criodistruzione Polare	레이징지오프리즈	激狂大地万里冰	激狂大地萬里冰
651		Crioaliento despiadado	Crioaliento despiadado	レイジングジオフリーズ	Subzero Slammer	Laser Cryogénique	Tobender Geofrost	Criodistruzione Polare	레이징지오프리즈	激狂大地万里冰	激狂大地萬里冰
652		Dracoaliento devastador	Dracoaliento devastador	アルティメットドラゴンバーン	Devastating Drake	Chaos Draconique	Drastisches Drachendröhnen	Dragoschianto Finale	얼티메이트드래곤번	究极巨龙震天地	究極巨龍震天地
653		Dracoaliento devastador	Dracoaliento devastador	アルティメットドラゴンバーン	Devastating Drake	Chaos Draconique	Drastisches Drachendröhnen	Dragoschianto Finale	얼티메이트드래곤번	究极巨龙震天地	究極巨龍震天地
654		Agujero negro aniquilador	Agujero negro aniquilador	ブラックホールイクリプス	Black Hole Eclipse	Trou Noir des Ombres	Schwarzes Loch des Grauens	Buco Nero del Non Ritorno	블랙홀이클립스	黑洞吞噬万物灭	黑洞吞噬萬物滅
655		Agujero negro aniquilador	Agujero negro aniquilador	ブラックホールイクリプス	Black Hole Eclipse	Trou Noir des Ombres	Schwarzes Loch des Grauens	Buco Nero del Non Ritorno	블랙홀이클립스	黑洞吞噬万物灭	黑洞吞噬萬物滅
656		Arrumaco sideral	Tacleada sideral	ラブリースターインパクト	Twinkle Tackle	Impact Choupinova	Entzückender Sternenstoß	Astroimpatto Fatato	러블리스타임팩트	可爱星星飞天撞	可愛星星飛天撞
657		Arrumaco sideral	Tacleada sideral	ラブリースターインパクト	Twinkle Tackle	Impact Choupinova	Entzückender Sternenstoß	Astroimpatto Fatato	러블리스타임팩트	可爱星星飞天撞	可愛星星飛天撞
658		Pikavoltio letal	Pikavoltio letal	ひっさつのピカチュート	Catastropika	Pikachute Foudroyante	Perfektes Pika-Projektil	Super Pikaboom	필살피카슛	皮卡皮卡必杀击	皮卡皮卡必殺擊
659		Recogearena	Recogearena	すなあつめ	Shore Up	Amass’Sable	Sandsammler	Sabbiaccumulo	모래모으기	集沙	集沙
660		Escaramuza	Escaramuza	であいがしら	First Impression	Escarmouche	Überrumpler	Schermaglia	만나자마자	迎头一击	迎頭一擊
661		Búnker	Búnker	トーチカ	Baneful Bunker	Blockhaus	Bunker	Fortino	토치카	碉堡	碉堡
662		Puntada sombría	Puntada sombría	かげぬい	Spirit Shackle	Tisse Ombre	Schattenfessel	Cucitura d’Ombra	그림자꿰매기	缝影	縫影
663		Lariat oscuro	Lariat oscuro	ＤＤラリアット	Darkest Lariat	Dark Lariat	Dark Lariat	Braccioteso	DD래리어트	ＤＤ金勾臂	ＤＤ金勾臂
664		Aria burbuja	Aria burbuja	うたかたのアリア	Sparkling Aria	Aria de l’Écume	Schaumserenade	Canto Effimero	물거품아리아	泡影的咏叹调	泡影的詠歎調
665		Martillo hielo	Martillo hielo	アイスハンマー	Ice Hammer	Marteau de Glace	Eishammer	Martelgelo	아이스해머	冰锤	冰錘
666		Cura floral	Flores sanadoras	フラワーヒール	Floral Healing	Soin Floral	Florakur	Cura Floreale	플라워힐	花疗	花療
667		Fuerza equina	Fuerza equina	１０まんばりき	High Horsepower	Cavalerie Lourde	Pferdestärke	Forza Equina	10만마력	十万马力	十萬馬力
668		Absorbefuerza	Absorbefuerza	ちからをすいとる	Strength Sap	Vole-Force	Kraftabsorber	Assorbiforza	힘흡수	吸取力量	吸取力量
669		Cuchilla solar	Cuchillada solar	ソーラーブレード	Solar Blade	Lame Solaire	Solarklinge	Lama Solare	솔라블레이드	日光刃	日光刃
670		Follaje	Follaje	このは	Leafage	Feuillage	Blattwerk	Fogliame	나뭇잎	树叶	樹葉
671		Foco	Foco	スポットライト	Spotlight	Projecteur	Rampenlicht	Riflettore	스포트라이트	聚光灯	聚光燈
672		Hilo venenoso	Hilo venenoso	どくのいと	Toxic Thread	Fil Toxique	Giftfaden	Velenotela	독실	毒丝	毒絲
673		Aguzar	Agudizar	とぎすます	Laser Focus	Affilage	Konzentration	Concentrazione	예민해지기	磨砺	磨礪
674		Piñón auxiliar	Engranajes	アシストギア	Gear Up	Engrenage	Hilfsmechanik	Marciainpiù	어시스트기어	辅助齿轮	輔助齒輪
675		Golpe mordaza	Golpe al cuello	じごくづき	Throat Chop	Exécu-Son	Neck Strike	Colpo Infernale	지옥찌르기	深渊突刺	地獄突刺
676		Bola de polen	Bola de polen	かふんだんご	Pollen Puff	Boule Pollen	Pollenknödel	Sferapolline	꽃가루경단	花粉团	花粉團
677		Anclaje	Anclaje	アンカーショット	Anchor Shot	Ancrage	Ankerschuss	Colpo d’Ancora	앵커샷	掷锚	擲錨
678		Campo psíquico	Campo psíquico	サイコフィールド	Psychic Terrain	Champ Psychique	Psychofeld	Campo Psichico	사이코필드	精神场地	精神場地
679		Plancha	Plancha	とびかかる	Lunge	Furie-Bond	Anfallen	Assalto	덤벼들기	猛扑	猛撲
680		Látigo ígneo	Látigo ígneo	ほのおのムチ	Fire Lash	Fouet de Feu	Feuerpeitsche	Frusta di Fuoco	불꽃채찍	火焰鞭	火焰鞭
681		Chulería	Arrogancia	つけあがる	Power Trip	Arrogance	Überheblichkeit	Tracotanza	기어오르기	嚣张	囂張
682		Llama final	Llama final	もえつきる	Burn Up	Flamme Ultime	Ausbrennen	Ultima Fiamma	불사르기	燃尽	燃盡
683		Cambiavelocidad	Cambiavelocidad	スピードスワップ	Speed Swap	Permuvitesse	Initiativetausch	Velociscambio	스피드스왑	速度互换	速度互換
684		Cuerno certero	Cuerno certero	スマートホーン	Smart Strike	Estocorne	Schmalhorn	Sottilcorno	스마트혼	修长之角	修長之角
685		Purificación	Purificación	じょうか	Purify	Purification	Läuterung	Purificazione	정화	净化	淨化
686		Danza despertar	Danza revelación	めざめるダンス	Revelation Dance	Danse Éveil	Wecktanz	Mutadanza	잠재댄스	觉醒之舞	覺醒之舞
687		Núcleo castigo	Núcleo castigo	コアパニッシャー	Core Enforcer	Sanction Suprême	Sanktionskern	Nucleocastigo	코어퍼니셔	核心惩罚者	核心懲罰者
688		Patada tropical	Patada tropical	トロピカルキック	Trop Kick	Botte Sucrette	Tropenkick	Tropicalcio	트로피컬킥	热带踢	熱帶踢
689		Mandato	Mandato	さいはい	Instruct	Sommation	Kommando	Imposizione	지휘	号令	號令
690		Pico cañón	Pico cañón	くちばしキャノン	Beak Blast	Bec-Canon	Schnabelkanone	Cannonbecco	부리캐논	鸟嘴加农炮	鳥嘴加農炮
691		Fragor escamas	Fragor escamas	スケイルノイズ	Clanging Scales	Vibrécaille	Schuppenrasseln	Clamorsquame	스케일노이즈	鳞片噪音	鱗片噪音
692		Martillo dragón	Martillo dragón	ドラゴンハンマー	Dragon Hammer	Draco-Marteau	Drachenhammer	Marteldrago	드래곤해머	龙锤	龍錘
693		Giro vil	Giro vil	ぶんまわす	Brutal Swing	Centrifugifle	Wirbler	Vorticolpo	세차게휘두르기	狂舞挥打	狂舞揮打
694		Velo aurora	Velo aurora	オーロラベール	Aurora Veil	Voile Aurore	Auroraschleier	Velaurora	오로라베일	极光幕	極光幕
695		Aluvión de flechas sombrías	Aluvión de flechas sombrías	シャドーアローズストライク	Sinister Arrow Raid	Fureur des Plumes Spectrales	Schatten-Pfeilregen	Dardoassalto Spettrale	섀도애로우즈스트라이크	遮天蔽日暗影箭	遮天蔽日暗影箭
696		Hiperplancha oscura	Hiperplancha oscura	ハイパーダーククラッシャー	Malicious Moonsault	Dark Body Press	Hyper Dark Crusher	Iperschianto delle Tenebre	하이퍼다크크러셔	极恶飞跃粉碎击	極惡飛躍粉碎擊
697		Sinfonía de la diva marina	Sinfonía de la diva marina	わだつみのシンフォニア	Oceanic Operetta	Symphonie des Ondines	Grandiose Meeressymphonie	Sinfonia del Mare	바다의심포니	海神庄严交响乐	海神莊嚴交響樂
698		Cólera del guardián	Cólera del guardián	ガーディアン・デ・アローラ	Guardian of Alola	Colère du Gardien d’Alola	Alolas Wächter	Collera del Guardiano	알로라의수호자	巨人卫士・阿罗拉	巨人衛士・阿羅拉
699		Constelación robaalmas	Constelación robaalmas	しちせいだっこんたい	Soul-Stealing 7-Star Strike	Fauche-Âme des Sept Étoiles	Sternbild des Seelenraubes	Colpo Eptastellare Rubanima	칠성탈혼퇴	七星夺魂腿	七星奪魂腿
700		Surfeo galvánico	Surfeo galvánico	ライトニングサーフライド	Stoked Sparksurfer	Électro-Surf Survolté	Blitz-Wellenritt	Elettrosurf Folgorante	라이트닝서프라이드	驾雷驭电戏冲浪	駕雷馭電戲衝浪
701		Arrojo intempestivo	Arrojo intempestivo	ほんきをだす　こうげき	Pulverizing Pancake	Gare au Ronflex	Schluss mit lustig	Adesso Faccio sul Serio	진심의공격	认真起来大爆击	認真起來大爆擊
702		Novena potencia	Novena potencia	ナインエボルブースト	Extreme Evoboost	Neuf pour Un	Macht der Neun	Potenziamento Eevolutivo	나인이볼부스트	九彩升华齐聚顶	九彩昇華齊聚頂
703		Supernova original	Supernova original	オリジンズスーパーノヴァ	Genesis Supernova	Supernova Originelle	Supernova des Ursprungs	Supernova delle Origini	오리진즈슈퍼노바	起源超新星大爆炸	起源超新星大爆炸
704		Coraza trampa	Trampa coraza	トラップシェル	Shell Trap	Carapiège	Panzerfalle	Gusciotrappola	트랩셸	陷阱甲壳	陷阱甲殼
705		Cañón floral	Cañón floral	フルールカノン	Fleur Cannon	Canon Floral	Kanonenbouquet	Cannonfiore	플뢰르캐논	花朵加农炮	花朵加農炮
706		Psicocolmillo	Psicocolmillo	サイコファング	Psychic Fangs	Psycho-Croc	Psychobeißer	Psicozanna	사이코팽	精神之牙	精神之牙
707		Pataleta	Pataleta	じだんだ	Stomping Tantrum	Trépignement	Fruststampfer	Battipiedi	분함의발구르기	跺脚	跺腳
708		Hueso sombrío	Hueso sombrío	シャドーボーン	Shadow Bone	Os Ombre	Schattenknochen	Ossotetro	섀도본	暗影之骨	暗影之骨
709		Roca veloz	Roca veloz	アクセルロック	Accelerock	Vif Roc	Turbofelsen	Rocciarapida	액셀록	冲岩	衝岩
710		Hidroariete	Hidroariete	アクアブレイク	Liquidation	Aqua-Brèche	Aquadurchstoß	Idrobreccia	아쿠아브레이크	水流裂破	水流裂破
711		Láser prisma	Láser prisma	プリズムレーザー	Prismatic Laser	Laser Prisme	Prisma-Laser	Prismalaser	프리즘레이저	棱镜镭射	稜鏡鐳射
712		Robasombra	Robasombra	シャドースチール	Spectral Thief	Clepto-Mânes	Diebesschatten	Ombrafurto	섀도스틸	暗影偷盗	暗影偷盜
713		Meteoimpacto	Meteoimpacto	メテオドライブ	Sunsteel Strike	Choc Météore	Stahlgestirn	Astrocarica	메테오드라이브	流星闪冲	流星閃衝
714		Rayo umbrío	Rayo umbrío	シャドーレイ	Moongeist Beam	Rayon Spectral	Schattenstrahl	Raggio d’Ombra	섀도레이	暗影之光	暗影之光
715		Ojos llorosos	Ojos llorosos	なみだめ	Tearful Look	Larme à l’Œil	Tränendrüse	Occhionilucidi	눈물그렁그렁	泪眼汪汪	淚眼汪汪
716		Electropunzada	Electropunzada	びりびりちくちく	Zing Zap	Électrikipik	Elektropikser	Elettropizzico	찌리리따끔따끔	麻麻刺刺	麻麻刺刺
717		Furia natural	Ira natural	しぜんのいかり	Nature’s Madness	Ire de la Nature	Naturzorn	Ira della Natura	자연의분노	自然之怒	自然之怒
718		Multiataque	Multiataque	マルチアタック	Multi-Attack	Coup Varia-Type	Multi-Angriff	Multiattacco	멀티어택	多属性攻击	多屬性攻擊
719		Gigarrayo fulminante	Gigarrayo fulminante	１０００まんボルト	10,000,000 Volt Thunderbolt	Giga-Tonnerre	Tausendfacher Donnerblitz	Iperfulmine	1000만볼트	千万伏特	千萬伏特
720		Cabeza sorpresa	Cabeza sorpresa	ビックリヘッド	Mind Blown	Caboche-Kaboum	Knallkopf	Sbalorditesta	깜짝헤드	惊爆大头	驚爆大頭
721		Puños plasma	Puños plasma	プラズマフィスト	Plasma Fists	Plasma Punch	Plasmafäuste	Pugni Plasma	플라스마피스트	等离子闪电拳	等離子閃電拳
722		Géiser fotónico	Géiser fotónico	フォトンゲイザー	Photon Geyser	Photo-Geyser	Photonen-Geysir	Geyser Fotonico	포톤가이저	光子喷涌	光子噴湧
723		Fotodestrucción apocalíptica	Fotodestrucción apocalíptica	てんこがすめつぼうのひかり	Light That Burns the Sky	Apocalypsis Luminis	Licht des Erlöschens	Fotodistruzione Apocalittica	하늘을태우는멸망의빛	焚天灭世炽光爆	焚天滅世熾光爆
724		Embestida solar	Embestida solar	サンシャインスマッシャー	Searing Sunraze Smash	Hélio-Choc Dévastateur	Schmetternde Sonnenwalze	Supercollisione Solare	선샤인스매셔	日光回旋下苍穹	日光迴旋下蒼穹
725		Deflagración lunar	Deflagración lunar	ムーンライトブラスター	Menacing Moonraze Maelstrom	Rayons Séléno-Explosifs	Geballter Mondlaser	Deflagrazione Lunare	문라이트블래스터	月华飞溅落灵霄	月華飛濺落靈霄
726		Somanta amistosa	Paliza amistosa	ぽかぼかフレンドタイム	Let’s Snuggle Forever	Patati-Patattrape	Herzliche Knuddelkloppe	Dolcesacco di Botte	투닥투닥프렌드타임	亲密无间大乱揍	親密無間大亂揍
727		Tempestad rocosa	Tempestad rocosa	ラジアルエッジストーム	Splintered Stormshards	Hurlement des Roches-Lames	Fataler Steinregen	Litotempesta Radiale	레이디얼에지스톰	狼啸石牙飓风暴	狼嘯石牙颶風暴
728		Estruendo implacable	Estruendo implacable	ブレイジングソウルビート	Clangorous Soulblaze	Dracacophonie Flamboyante	Rasselnder Seelentanz	Dracofonia Divampante	브레이징소울비트	炽魂热舞烈音爆	熾魂熱舞烈音爆
729		Pikaturbo	Pikaturbo	ばちばちアクセル	Zippy Zap	Pika-Sprint	Britzelturbo	Sprintaboom	파찌파찌액셀	电电加速	電電加速
730		Salpikasurf	Salpikasurf	ざぶざぶサーフ	Splishy Splash	Pika-Splash	Plätschersurfer	Surfasplash	참방참방서핑	滔滔冲浪	滔滔衝浪
731		Pikapicado	Pikaída	ふわふわフォール	Floaty Fall	Pika-Piqué	Schwebesturz	Piombaflap	둥실둥실폴	飘飘坠落	飄飄墜落
732		Pikatormenta	Pikatormenta	ピカピカサンダー	Pika Papow	Pika-Fracas	Pika-Flash	Pikasaetta	피카피카썬더	闪闪雷光	閃閃雷光
733		Vapodrenaje	Vapodrenaje	いきいきバブル	Bouncy Bubble	Évo-Thalasso	Blubbsauger	Bollaslurp	생생버블	活活气泡	活活氣泡
734		Joltioparálisis	Joltioparálisis	びりびりエレキ	Buzzy Buzz	Évo-Dynamo	Knisterladung	Elettrozap	찌릿찌릿일렉	麻麻电击	麻麻電擊
735		Flarembestida	Flarembestida	めらめらバーン	Sizzly Slide	Évo-Flambo	Flackerbrand	Fiammabam	이글이글번	熊熊火爆	熊熊火爆
736		Espeaura	Espeaura	どばどばオーラ	Glitzy Glow	Évo-Psycho	Pulsieraura	Auraswoosh	콸콸오라	哗哗气场	嘩嘩氣場
737		Umbreozona	Umbreozona	わるわるゾーン	Baddy Bad	Évo-Ténébro	Quälzone	Zona Buiabuia	아그아그존	坏坏领域	壞壞領域
738		Leafitobombas	Leafitobombas	すくすくボンバー	Sappy Seed	Évo-Écolo	Sprießbomben	Bombafrush	쑥쑥봄버	茁茁炸弹	茁茁轟炸
739		Glaceoprisma	Glaceoprisma	こちこちフロスト	Freezy Frost	Évo-Congélo	Klirrfrost	Scricchiagelo	꽁꽁프로스트	冰冰霜冻	冰冰霜凍
740		Sylveotornado	Sylveotornado	きらきらストーム	Sparkly Swirl	Évo-Fabulo	Glitzersturm	Sbrilluccibufera	반짝반짝스톰	亮亮风暴	亮亮風暴
741		Eevimpacto	Eevimpacto	ブイブイブレイク	Veevee Volley	Évo-Chardasso	Evo-Crash	Eeveempatto	브이브이브레이크	砰砰击破	砰砰擊破
742		Ferropuño doble	Ferropuño doble	ダブルパンツァー	Double Iron Bash	Écrous d’Poing	Panzerfäuste	Pugni Corazzati	더블펀처	钢拳双击	鋼拳雙擊
743		Maxibarrera	Maxibarrera	ダイウォール	Max Guard	Gardomax	Dyna-Wall	Dynabarriera	다이월	极巨防壁	極巨防壁
744		Cañón dinamax	Cañón dinamax	ダイマックスほう	Dynamax Cannon	Canon Dynamax	Dynamax-Kanone	Cannone Dynamax	다이맥스포	极巨炮	極巨炮
745		Disparo certero	Disparo certero	ねらいうち	Snipe Shot	Tir de Précision	Präzisionsschuss	Tiromirato	노려맞히기	狙击	狙擊
746		Presa maxilar	Presa maxilar	くらいつく	Jaw Lock	Croque Fort	Fesselbiss	Morsostretto	물고버티기	紧咬不放	緊咬不放
747		Atiborramiento	Atiborramiento	ほおばる	Stuff Cheeks	Garde-à-Joues	Backenstopfer	Riempiguance	볼가득넣기	大快朵颐	大快朵頤
748		Bastión final	Bastión final	はいすいのじん	No Retreat	Ultime Bastion	Finalformation	Spalle al Muro	배수의진	背水一战	背水一戰
749		Alquitranazo	Alquitranazo	タールショット	Tar Shot	Goudronnage	Teerschuss	Colpocatrame	타르샷	沥青射击	瀝青射擊
750		Polvo mágico	Polvo magia	まほうのこな	Magic Powder	Poudre Magique	Magiepuder	Magipolvere	마법가루	魔法粉	魔法粉
751		Dracoflechas	Dracoflechas	ドラゴンアロー	Dragon Darts	Draco-Flèches	Drachenpfeile	Dragofrecce	드래곤애로	龙箭	龍箭
752		Hora del té	Hora del té	おちゃかい	Teatime	Thérémonie	Teatime	Ora del Tè	다과회	茶会	茶會
753		Octopresa	Octopresa	たこがため	Octolock	Octoprise	Octoklammer	Tentacolock	문어굳히기	蛸固	蛸固
754		Electropico	Electropico	でんげきくちばし	Bolt Beak	Prise de Bec	Schockschnabel	Beccoshock	전격부리	电喙	電喙
755		Branquibocado	Branquibocado	エラがみ	Fishious Rend	Branchicrok	Kiemenbiss	Branchiomorso	아가미물기	鳃咬	鰓咬
756		Cambio de cancha	Cambio de cancha	コートチェンジ	Court Change	Change-Côté	Seitenwechsel	Cambiocampo	코트체인지	换场	換場
757		Maxignición	Maxignición	ダイバーン	Max Flare	Pyromax	Dyna-Brand	Dynafiammata	다이번	极巨火爆	極巨火爆
758		Maxinsecto	Maxinsecto	ダイワーム	Max Flutterby	Insectomax	Dyna-Schwarm	Dynainsetto	다이웜	极巨虫蛊	極巨蟲蠱
759		Maxitormenta	Maxitormenta	ダイサンダー	Max Lightning	Fulguromax	Dyna-Gewitter	Dynasaetta	다이썬더	极巨闪电	極巨閃電
760		Maxiataque	Maxiataque	ダイアタック	Max Strike	Normalomax	Dyna-Angriff	Dynattacco	다이어택	极巨攻击	極巨攻擊
761		Maxipuño	Maxipuño	ダイナックル	Max Knuckle	Pugilomax	Dyna-Faust	Dynapugno	다이너클	极巨拳斗	極巨拳鬥
762		Maxiespectro	Maxiespectro	ダイホロウ	Max Phantasm	Spectromax	Dyna-Spuk	Dynavuoto	다이할로우	极巨幽魂	極巨幽魂
763		Maxihelada	Maxihelada	ダイアイス	Max Hailstorm	Cryomax	Dyna-Frost	Dynagelo	다이아이스	极巨寒冰	極巨寒冰
764		Maxiácido	Maxiácido	ダイアシッド	Max Ooze	Toxinomax	Dyna-Giftschwall	Dynacorrosione	다이애시드	极巨酸毒	極巨酸毒
765		Maxichorro	Maxichorro	ダイストリーム	Max Geyser	Hydromax	Dyna-Flut	Dynaflusso	다이스트림	极巨水流	極巨水流
766		Maxiciclón	Maxiciclón	ダイジェット	Max Airstream	Aéromax	Dyna-Düse	Dynajet	다이제트	极巨飞冲	極巨飛衝
767		Maxiestela	Maxiestela	ダイフェアリー	Max Starfall	Enchantomax	Dyna-Zauber	Dynafata	다이페어리	极巨妖精	極巨妖精
768		Maxidraco	Maxidraco	ダイドラグーン	Max Wyrmwind	Dracomax	Dyna-Wyrm	Dynadragone	다이드라군	极巨龙骑	極巨龍騎
769		Maxionda	Maxionda	ダイサイコ	Max Mindstorm	Psychomax	Dyna-Kinese	Dynapsiche	다이사이코	极巨超能	極巨超能
770		Maxilito	Maxirroca	ダイロック	Max Rockfall	Lithomax	Dyna-Brocken	Dynamacigno	다이록	极巨岩石	極巨岩石
771		Maxitemblor	Maxitemblor	ダイアース	Max Quake	Sismomax	Dyna-Erdstoß	Dynasisma	다이어스	极巨大地	極巨大地
772		Maxisombra	Maxisombra	ダイアーク	Max Darkness	Sinistromax	Dyna-Dunkel	Dynatenebre	다이아크	极巨恶霸	極巨惡霸
773		Maxiflora	Maxiflora	ダイソウゲン	Max Overgrowth	Phytomax	Dyna-Flora	Dynaflora	다이그래스	极巨草原	極巨草原
774		Maximetal	Maximetal	ダイスチル	Max Steelspike	Métallomax	Dyna-Stahlzacken	Dynametallo	다이스틸	极巨钢铁	極巨鋼鐵
775		Estruendo escama	Estruendo escama	ソウルビート	Clangorous Soul	Dracacophonie	Seelentanz	Dracofonia	소울비트	魂舞烈音爆	魂舞烈音爆
776		Plancha corporal	Plancha corporal	ボディプレス	Body Press	Big Splash	Body Press	Schiacciacorpo	바디프레스	扑击	撲擊
